model,name,lower,score,upper
claude-3-5-sonnet-20240620,Claude 3 Sonnet,1017.1489173758272,1048.4754860298972,1087.035860262407
deepseek-coder-fim,Deepseek Coder ,987.5318146625161,1035.532117839147,1075.7742193267263
codestral-2405,Codestral,974.9108163563061,1021.3693141273836,1051.4513651063428
gemini-1.5-flash-001,Gemini-1.5-Flash-001,993.723245161331,1015.1026472458235,1033.0760454726517
chatgpt-4o-latest,ChatGPT-4o-latest,976.0832772515902,1005.0503369429612,1036.4955108275199
gemini-1.5-flash-exp-0827,Gemini-1.5-Flash-Exp (08/27),967.0938987782339,998.9396519005502,1037.7927208276574
gpt-4o-2024-08-06, ChatGPT-4o (08/06),971.3938561177471,998.9711050152653,1026.8969332278903
gemini-1.5-pro-001,Gemini-1.5-Pro-001,919.1321155336142,979.851437449812,1028.8014339429847
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,Meta-Llama-3.1-70b-Instruct-Turbo,951.3003124265405,974.8105844298225,1000.320424252416
gemini-1.5-pro-exp-0827,Gemini-1.5-Pro-Exp (08/27),930.9438757001614,968.567128551512,1004.8831998562932
gpt-4o-mini-2024-07-18, ChatGPT-4o-mini (07/18),928.3388188164412,958.1419048583625,994.8881034860108
